Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,Totlen Fwd Pkts,Totlen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Cnt,ECE Flag Cnt,Down/Up Ratio,Pkt Sive Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,
68.232.35.139-192.168.1.101-443-56659-6,192.168.1.101,56659,68.232.35.139,443,6,2014-08-08 01:02:04,119.0,1,1,0.0,31.0,0,0,0.0,0,31,31,31.0,0,260504.20168067227,16806.72268907563,119.0,0,119.0,119.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,8403.361344537814,8403.361344537814,0,31,20.666666666666668,17.897858344878397,320.33333333333326,0,0,0,1,1,0,0,0,1.0,31.0,0.0,31.0,0,0,0,0,0,0,1.0,0.0,1.0,31.0,-1,63026,0,20,0,0,0,0,0,0,0,0,
68.232.35.139-192.168.1.101-443-56659-6,68.232.35.139,443,192.168.1.101,56659,6,2014-08-08 01:02:04,3.0,2,1,31.0,0.0,31,0,15.5,21.920310216782973,0,0,0.0,0,10333333.333333334,1000000.0,1.5,0.7071067811865476,2.0,1.0,1.0,1.0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,40,20,666666.6666666666,666666.6666666666,0,31,7.75,15.5,240.25,0,0,0,0,1,0,0,0,1.0,10.333333333333334,15.5,0.0,0,0,0,0,0,0,2.0,31.0,1.0,0.0,-1,16616,1,20,0,0,0,0,0,0,0,0,
90.84.59.130-192.168.1.101-443-56671-6,192.168.1.101,56671,90.84.59.130,443,6,2014-08-08 01:02:02,7100025.0,1,1,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0.2816891489818698,7100025.0,0,7100025.0,7100025.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.1408445744909349,0.1408445744909349,0,0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,0.0,1.0,0.0,-1,64236,0,20,0,0,0,0,0,0,0,0,
173.194.35.53-192.168.1.101-443-56644-6,192.168.1.101,56644,173.194.35.53,443,6,2014-08-08 01:02:12,3923267.0,4,2,158.0,41.0,76,0,39.5,31.075177661063606,41,0,20.5,28.991378028648448,50.72303261541975,1.5293376667965755,784653.4,678136.8199768391,1510050.0,127.0,3175766.0,1058588.6666666667,931725.0676848473,1754720.0,127.0,2413090.0,2413090.0,0,2413090.0,2413090.0,0,1,0,0,80,52,1.0195584445310502,1.0195584445310502,0,76,34.285714285714285,26.681543469311553,711.9047619047619,0,0,0,1,1,0,0,0,1.0,40.0,39.5,20.5,0,0,0,0,0,0,4.0,158.0,2.0,41.0,-1,42718,3,20,0,0,0,0,0,0,0,0,
173.194.35.55-192.168.1.101-443-56675-6,192.168.1.101,56675,173.194.35.55,443,6,2014-08-08 01:02:22,330594.0,3,2,517.0,0.0,517,0,172.33333333333334,298.4900891710365,0,0,0.0,0.0,1563.8517335462834,15.124291426946648,82648.5,164081.9534673654,328770.0,95.0,1481.0,740.5,912.8748545118328,1386.0,95.0,328770.0,328770.0,0,328770.0,328770.0,0,0,0,0,60,56,9.074574856167988,9.074574856167988,0,517,86.16666666666667,211.06436616981716,44548.16666666666,0,1,0,0,0,0,0,0,1.0,103.4,172.33333333333334,0.0,0,0,0,0,0,0,3.0,517.0,2.0,0.0,-1,42900,1,20,0,0,0,0,0,0,0,0,
173.194.35.55-192.168.1.101-443-56675-6,173.194.35.55,443,192.168.1.101,56675,6,2014-08-08 01:02:23,3.0,2,1,0.0,137.0,0,0,0.0,0.0,137,137,137.0,0,45666666.666666664,1000000.0,1.5,0.7071067811865476,2.0,1.0,2.0,2.0,0,2.0,2.0,0,0,0,0,0,0,1,0,0,40,20,666666.6666666666,666666.6666666666,0,137,68.5,79.09698687897873,6256.333333333333,0,0,0,1,1,0,0,0,1.0,91.33333333333333,0.0,137.0,0,0,0,0,0,0,2.0,0.0,1.0,137.0,-1,42383,0,20,0,0,0,0,0,0,0,0,
173.194.35.55-192.168.1.101-443-56676-6,192.168.1.101,56676,173.194.35.55,443,6,2014-08-08 01:02:22,345266.0,3,2,517.0,0.0,517,0,172.33333333333334,298.4900891710365,0,0,0.0,0.0,1497.3962104580237,14.481588108878372,86316.5,153911.60795404614,316331.0,85.0,28421.0,14210.5,19976.473675301153,28336.0,85.0,316331.0,316331.0,0,316331.0,316331.0,0,0,0,0,60,56,8.688952865327023,8.688952865327023,0,517,86.16666666666667,211.06436616981716,44548.16666666666,0,1,0,0,0,0,0,0,1.0,103.4,172.33333333333334,0.0,0,0,0,0,0,0,3.0,517.0,2.0,0.0,-1,42900,1,20,0,0,0,0,0,0,0,0,
173.194.35.55-192.168.1.101-443-56676-6,173.194.35.55,443,192.168.1.101,56676,6,2014-08-08 01:02:23,4.0,2,1,0.0,137.0,0,0,0.0,0.0,137,137,137.0,0,34250000.0,750000.0,2.0,0.0,2.0,2.0,2.0,2.0,0,2.0,2.0,0,0,0,0,0,0,1,0,0,40,20,500000.0,500000.0,0,137,68.5,79.09698687897873,6256.333333333333,0,0,0,1,1,0,0,0,1.0,91.33333333333333,0.0,137.0,0,0,0,0,0,0,2.0,0.0,1.0,137.0,-1,42383,0,20,0,0,0,0,0,0,0,0,
173.194.66.84-192.168.1.101-443-56652-6,192.168.1.101,56652,173.194.66.84,443,6,2014-08-08 01:02:21,4041516.0,2,5,41.0,151.0,41,0,20.5,28.991378028648448,65,0,30.2,29.029295547773803,47.5069256190004,1.7320233298593894,673586.0,792115.8538360408,2151905.0,4.0,2700495.0,2700495.0,0,2700495.0,2700495.0,4041516.0,1010379.0,917524.6524728006,2151905.0,4.0,0,1,0,0,40,112,0.49486380853125417,0.49486380853125417,0,65,29.125,25.37398836829334,643.8392857142857,0,0,0,1,1,0,0,0,1.0,33.285714285714285,20.5,30.2,0,0,0,0,0,0,2.0,41.0,5.0,151.0,-1,42714,1,20,0,0,0,0,0,0,0,0,
173.194.66.84-192.168.1.101-443-56652-6,192.168.1.101,56652,173.194.66.84,443,6,2014-08-08 01:02:25,251.0,2,1,76.0,0.0,76,0,38.0,53.74011537017761,0,0,0.0,0,302788.84462151397,11952.191235059761,125.5,60.10407640085654,168.0,83.0,83.0,83.0,0,83.0,83.0,0,0,0,0,0,0,0,0,0,40,20,7968.127490039841,7968.127490039841,0,76,19.0,38.0,1444.0,0,0,0,0,1,0,0,0,1.0,25.333333333333332,38.0,0.0,0,0,0,0,0,0,2.0,76.0,1.0,0.0,-1,63093,1,20,0,0,0,0,0,0,0,0,
